TIME,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019
Italy,"35,751.01",,"35,579.98",,"36,185.56",,"35,525.87",,"35,912.54",,"34,828.88",,"34,502.44",,"33,862.34",,"33,788.52",,"32,918.19",,"32,334.89",,"31,894.21",,"32,527.66",,"31,470.73",,"30,935.24",,"30,020.15",,"30,419",,"30,822.89",,"29,979.73",,"29,486.93",,"29,562.75",,"30,360.33",,"30,108.67",,"29,685.57",,"29,517.32"
Cyprus,580.26,,562.35,,548.51,,562.8,,545.6,,552.17,,601.53,,620.83,,602.56,,583.21,,532.83,,547.99,,539.87,,515.55,,508.93,,531.37,,520.56,,496.9,,462.12,,447.21,,456.13,,480.53,,493.63,,498.77,,512.25
Latvia,"2,003.84",,"1,963.4",,"1,945.82",,"1,841.61",,"1,653.22",,"1,678.43",,"1,789.45",,"1,761.29",,"1,804.9",,"1,730.62",,"1,793.8",,"1,793.43",,"1,875.32",,"1,838.34",,"1,860.04",,"1,879.55",,"1,891.71",,"1,974.92",,"2,033.73",,"2,110.66",,"2,159.01",,"2,167.76",,"2,180.59",,"2,096.93",,"2,202.37"
Lithuania,"4,295.44",,"4,470.93",,"4,508.2",,"4,385.06",,"4,088.56",,"3,921.15",,"3,767.36",,"3,911.38",,"3,989.03",,"4,034.85",,"4,056.44",,"4,048.7",,"4,203.16",,"4,101.12",,"4,197.98",,"4,149.89",,"4,191.98",,"4,270.37",,"4,244.13",,"4,461.02",,"4,529.99",,"4,415.06",,"4,374.24",,"4,231.15",,"4,245.5"
Luxembourg,717.98,,725.9,,715.51,,710,,717.73,,710.66,,694.57,,677.78,,640.72,,661.97,,646.51,,638.55,,653.88,,668.91,,671.76,,682.22,,669.74,,656.16,,666.46,,681.95,,695.76,,711.51,,721.56,,713.75,,712.35
Hungary,"6,000.83",,"6,022.51",,"5,997.81",,"6,190.83",,"6,259.84",,"6,136.36",,"6,331.54",,"6,363.52",,"6,192.42",,"6,468.59",,"6,136.71",,"6,105.93",,"6,075.79",,"6,113.16",,"5,754.63",,"5,674.03",,"5,889.63",,"5,925.22",,"6,326.21",,"6,572.25",,"6,787.64",,"7,095.35",,"7,105.93",,"7,146.32",,"7,132.74"
Malta,101.49,,102.09,,103.19,,100.23,,99.75,,100.72,,97.03,,95.73,,92.56,,95.31,,91.51,,90.22,,91.1,,86.65,,83.21,,81.56,,77.62,,79.1,,78.14,,77.97,,78.22,,76.69,,75.26,,76.61,,76.34
Netherlands,"23,638.1",,"23,315.24",,"22,515.62",,"21,770.84",,"21,283.35",,"20,078",,"19,666.02",,"18,436.88",,"18,088.69",,"17,855.93",,"17,686.87",,"17,810.95",,"17,585.18",,"17,607.21",,"17,518.49",,"17,554.06",,"17,225.39",,"17,037.88",,"17,526.34",,"17,685.15",,"18,231.24",,"18,445.1",,"18,497.05",,"17,934.85",,"17,650.73"
Austria,"7,797.3",,"7,683.68",,"7,646.14",,"7,616.07",,"7,504.4",,"7,415.16",,"7,363.1",,"7,256.02",,"7,103.43",,"7,080.85",,"7,016.63",,"7,011.87",,"7,071.3",,"7,212.59",,"7,242.79",,"7,095.32",,"7,172.57",,"7,122.87",,"7,113.3",,"7,257.14",,"7,274",,"7,390.15",,"7,340.83",,"7,253.77",,"7,151.67"
Poland,"36,914.32",,"35,956.57",,"36,738.68",,"36,681.53",,"35,214.94",,"33,491.38",,"32,957.48",,"31,958.38",,"31,412.44",,"31,557.54",,"31,922.75",,"32,432.08",,"33,191.48",,"33,333.92",,"32,643.06",,"31,975.85",,"32,349.16",,"32,182.27",,"32,859.06",,"32,729.38",,"31,968.97",,"32,377.84",,"33,708.94",,"33,980.3",,"32,735.41"
Portugal,"7,063.24",,"7,261.99",,"7,285.52",,"7,234.19",,"7,358.64",,"7,488.3",,"7,240.2",,"7,123.39",,"6,650.47",,"6,753.67",,"6,688.87",,"6,614.13",,"6,735.56",,"6,673.67",,"6,578.41",,"6,505.18",,"6,455.24",,"6,489.8",,"6,477.4",,"6,607.32",,"6,601.2",,"6,630.99",,"6,721.26",,"6,799.66",,"6,869.77"
Romania,"23,902.72",,"23,292.72",,"21,991.09",,"21,322.09",,"20,246.87",,"19,171.02",,"19,272.25",,"19,648.13",,"20,114.8",,"19,995.9",,"20,489.49",,"20,658.9",,"20,299.74",,"19,987.1",,"19,399.9",,"17,431.7",,"17,673.56",,"17,321.33",,"18,043.2",,"18,184.27",,"18,404.07",,"18,307.71",,"18,539.27",,"19,186.14",,"18,830.49"
Slovenia,"1,769.2",,"1,710.52",,"1,667.15",,"1,705.73",,"1,720.23",,"1,806.09",,"1,783.76",,"1,840.2",,"1,750.37",,"1,698.83",,"1,713.82",,"1,713.63",,"1,769.69",,"1,692.75",,"1,705.59",,"1,675.23",,"1,657.25",,"1,641.75",,"1,627.28",,"1,674.34",,"1,714.36",,"1,734.74",,"1,700.9",,"1,700.56",,"1,718.38"
Slovakia,"3,557.24",,"3,442.63",,"3,459.63",,"3,161.99",,"2,888.07",,"2,793.04",,"2,904.24",,"2,911.6",,"2,665.79",,"2,654.98",,"2,626.93",,"2,523",,"2,547.94",,"2,581.29",,"2,413.34",,"2,396.66",,"2,492.36",,"2,543.44",,"2,650.77",,"2,773.25",,"2,697.69",,"2,765.37",,"2,643.66",,"2,730.83",,"2,774.77"
Finland,"6,697.46",,"6,796.56",,"6,898.07",,"6,686.91",,"6,621.68",,"6,614.42",,"6,593.99",,"6,640.56",,"6,514.91",,"6,496.41",,"6,528.83",,"6,501.39",,"6,480.54",,"6,604.8",,"6,566.85",,"6,650.72",,"6,473.63",,"6,445.61",,"6,525.15",,"6,571.25",,"6,572.28",,"6,651.23",,"6,547.15",,"6,484.85",,"6,620.57"
Sweden,"7,591.3",,"7,679.16",,"7,695.87",,"7,573.9",,"7,442.57",,"7,413.13",,"7,384.46",,"7,251.73",,"7,163.48",,"7,191.92",,"7,045.91",,"6,916.47",,"6,929.15",,"6,965.3",,"6,714.39",,"6,835.76",,"6,830.49",,"6,761.04",,"6,838.4",,"6,899.65",,"6,920.44",,"6,884.33",,"7,045.43",,"6,872.71",,"6,948.12"
Iceland,617.1,,630.88,,625.45,,636.85,,641.53,,624.39,,625.54,,610.56,,604.23,,599.48,,603.35,,627.03,,642.28,,658.04,,644.94,,629.82,,630.03,,633.17,,618.71,,664.13,,652.57,,654.3,,655.94,,631.91,,618.85
Norway,"4,716.88",,"4,750.12",,"4,695.45",,"4,687.59",,"4,705.26",,"4,557.9",,"4,508.9",,"4,490.45",,"4,565.35",,"4,530.12",,"4,535.29",,"4,446.69",,"4,438.03",,"4,421.79",,"4,404.13",,"4,322.11",,"4,294.68",,"4,310.97",,"4,357.83",,"4,428.55",,"4,490.91",,"4,538.88",,"4,513.61",,"4,476.41",,"4,442.03"
Switzerland,"6,445.58",,"6,363.94",,"6,147.01",,"6,107.65",,"6,057.66",,"6,037.78",,"6,068.71",,"6,018.44",,"5,941.04",,"5,912.76",,"5,981.62",,"6,027.82",,"6,089.85",,"6,179.84",,"6,095.02",,"6,116.75",,"6,073.59",,"6,071.74",,"6,016.23",,"6,122.06",,"6,046.47",,"6,003.09",,"6,006.44",,"5,958.15",,"5,864.25"
United Kingdom,"47,055.95",,"47,906.33",,"47,220.34",,"47,409.34",,"47,426.8",,"45,335.62",,"43,005.58",,"42,844.64",,"43,788.8",,"43,835.05",,"43,700.32",,"42,606.67",,"42,170.34",,"41,106.37",,"40,843.71",,"41,155.98",,"41,174.48",,"40,851.79",,"40,506.51",,"42,170.07",,"41,687.83",,"41,467.96",,"41,927.54",,"41,373.27",,"41,814.95"
Turkey,"44,079.79",,"44,757.27",,"42,505.02",,"43,720.12",,"44,276.39",,"42,332.13",,"39,893.71",,"37,607.79",,"40,558.17",,"41,297.53",,"42,439.07",,"43,899.69",,"43,421.25",,"41,301.78",,"42,031.85",,"44,409.31",,"46,901.07",,"52,662.08",,"55,857.58",,"56,219.32",,"56,133.27",,"58,893.78",,"63,262.4",,"65,337.76",,"68,023.7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
